MMWRyear,MMWRweek,MMWRday,region,establishments,visits
2020,5,5,MD,7078,69780
2020,5,5,ME,2061,9347
2020,5,5,MI,11560,111723
2020,5,5,MN,5733,60174
2020,5,5,MO,6950,89751
2020,5,5,MS,3127,46198
2020,5,5,MT,1466,7946
2020,5,5,NC,12317,143709
2020,5,5,ND,869,8174
2020,5,5,NE,2318,25995
2020,5,5,NH,1926,12644
2020,5,5,NJ,15391,141100
2020,5,5,NM,2450,19044
2020,5,5,NV,3454,45002
2020,5,5,NY,35047,381024
2020,5,5,OH,13658,142977
2020,5,5,OK,4502,66526
2020,5,5,OR,7220,55305
2020,5,5,PA,18113,159075
2020,5,5,RI,1946,13227
2020,5,5,SC,6732,81377
2020,5,5,SD,1025,8277
2020,5,5,TN,8031,109354
2020,5,5,TX,35965,505765
2020,5,5,UT,3126,29933
2020,5,5,VA,9933,100582
2020,5,5,VT,1002,4909
2020,5,5,WA,10257,86813
2020,5,5,WI,8551,69244
2020,5,5,WV,1883,18874
2020,5,5,WY,756,4897
2020,5,6,AK,925,6165
2020,5,6,AL,5386,138479
2020,5,6,AR,3262,66499
2020,5,6,AZ,7713,119226
2020,5,6,CA,57668,580583
2020,5,6,CO,7711,92905
2020,5,6,CT,5772,54305
2020,5,6,DC,1799,30125
2020,5,6,DE,1370,14525
2020,5,6,FL,28209,490527
2020,5,6,GA,13048,239428
2020,5,6,HI,2624,30879
2020,5,6,IA,4010,58062
2020,5,6,ID,2109,22260
2020,5,6,IL,17790,236549
2020,5,6,IN,7429,114983
2020,5,6,KS,3129,55097
2020,5,6,KY,4231,77728
2020,5,6,LA,5779,108654
2020,5,6,MA,10453,104703
2020,5,6,MD,7078,94701
2020,5,6,ME,2061,13090
2020,5,6,MI,11560,162612
2020,5,6,MN,5733,85320
2020,5,6,MO,6950,126965
2020,5,6,MS,3127,69780
2020,5,6,MT,1466,10271
2020,5,6,NC,12317,193454
2020,5,6,ND,869,11391
2020,5,6,NE,2318,37657
2020,5,6,NH,1926,18443
2020,5,6,NJ,15391,180731
2020,5,6,NM,2450,26683
2020,5,6,NV,3454,57137
2020,5,6,NY,35047,455263
2020,5,6,OH,13658,208529
2020,5,6,OK,4502,95646
2020,5,6,OR,7220,66887
2020,5,6,PA,18113,216649
2020,5,6,RI,1946,18337
2020,5,6,SC,6732,107224
2020,5,6,SD,1025,12241
2020,5,6,TN,8031,156542
2020,5,6,TX,35965,709771
2020,5,6,UT,3126,39268
2020,5,6,VA,9933,134375
